text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ForeignOfficePk: Foreign Minister @BBhuttoZardari visited Consulate General of 🇨🇳 in Karachi and expressed condolences on passing of fo…,FALSE,0,NA,2022-12-08T06:29:09Z,FALSE,NA,1600739238118494208,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",basim_111111,172,TRUE,FALSE,NA,NA
"بنگلادیش نے بھارت کے خلاف مسلسل دوسری ون ڈے سیریز جیت لی!

#VoiceOfFriendship #DostiFM98 #Pakistan #China… https://t.co/z916ZsHJGm",FALSE,0,NA,2022-12-08T06:28:42Z,TRUE,NA,1600739124608114688,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DostiFM98,0,FALSE,FALSE,NA,NA
@CPSC_ISSI @TalatShabbir3 @ISSIslamabad @aizaz1101 @investinpak @CathayPak @ForeignOfficePk @Dawn_News How can I ge… https://t.co/xBirh6Kqpo,FALSE,0,CPSC_ISSI,2022-12-08T06:27:23Z,TRUE,1600731369210281984,1600738795955326977,1087692896038514688,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Fazal_SkyRider,0,FALSE,FALSE,NA,NA
RT @Emodad98: #ShiheziUniversity @Zhou_Li_CHN @MFA_China @JiRongMFA @XiJinping_Chin @CGMeifangZhang @AmbLiuXiaoMing @CathayPak #takeUsBackt…,FALSE,0,NA,2022-12-08T06:15:52Z,FALSE,NA,1600735897108254720,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shezhiuni0102,1,TRUE,FALSE,NA,NA
RT @Emodad98: #ShiheziUniversity @Zhou_Li_CHN @MFA_China @JiRongMFA @XiJinping_Chin @CGMeifangZhang @AmbLiuXiaoMing @CathayPak #takeUsBackt…,FALSE,0,NA,2022-12-08T06:15:48Z,FALSE,NA,1600735877315321856,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shezhiuni0102,1,TRUE,FALSE,NA,NA
RT @Emodad98: #ShiheziUniversity @Zhou_Li_CHN @MFA_China @JiRongMFA @XiJinping_Chin @CGMeifangZhang @AmbLiuXiaoMing @CathayPak #takeUsBackt…,FALSE,0,NA,2022-12-08T06:15:46Z,FALSE,NA,1600735869975302146,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shezhiuni0102,1,TRUE,FALSE,NA,NA
RT @Emodad98: #ShiheziUniversity @Zhou_Li_CHN @MFA_China @JiRongMFA @XiJinping_Chin @CGMeifangZhang @AmbLiuXiaoMing @CathayPak #takeUsBackt…,FALSE,0,NA,2022-12-08T06:15:41Z,FALSE,NA,1600735848039092224,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shezhiuni0102,1,TRUE,FALSE,NA,NA
"President Xi Jinping arrives in Saudia Arabia
https://t.co/XZTySyX4fR via @DiplomaticIns

#TDI #TDIAsia #China… https://t.co/XUGrVotsIR",FALSE,1,NA,2022-12-08T06:13:35Z,TRUE,NA,1600735321787875328,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",DiplomaticIns,0,FALSE,FALSE,NA,NA
'There cannot be an entire shift from #geoeconomics to #geopolitics as numerous factors of both overlap' Prof. Lin… https://t.co/wnhio2yhYJ,FALSE,1,NA,2022-12-08T06:10:02Z,TRUE,NA,1600734426388115462,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CPSC_ISSI,0,FALSE,FALSE,NA,NA
"习主席抵达利雅得，专家希望中巴经济走廊项目获得更多投资https://t.co/MpUBpffB3L 

@GovtofPakistan @PakPMO @ForeignOfficePk @PakinChina_… https://t.co/7WLlsxIaGJ",FALSE,0,NA,2022-12-08T06:08:30Z,TRUE,NA,1600734043796303872,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",APPChineseNews,0,FALSE,FALSE,NA,NA
